TITLE	DATES	LOCATION	DESCRIPTION
The Universe in Verse	April 7, 2024	Moody Amphitheater at Waterloo Park	Take part in three days of eclipse-related programming from April 7- 9, as part of Simons Foundation’s “In the Path of Totality” initiative celebrating the first total solar eclipse in Austin, TX since 1397.  The festivities kick off with Maria Popova’s The Universe in Verse, featuring musician David Byrne and On Being creator Krista Tippett, on April 7 at 6pm at Moody Amphitheater at Waterloo Park!  Created and hosted by writer Maria Popova, The Universe in Verse is a charitable celebration of science and the wonder of reality, winged with poetry and music. Every spring since 2017, thousands of people have gathered in atoms to savor stories about scientific phenomena, discoveries, and forgotten visionaries from the history of science, paired with poems read by beloved cultural icons — musicians and writers, artists and astronauts, physicists and poets.
Tony Hawk and Rodney Mullen: Darkslides and Secret Tapes	April 7, 2024	ACL Live at The Moody Theater	Skateboarding legends Tony Hawk and Rodney Mullen on stage together discussing their lives and careers, and how they inspired each other to innovate. Plus, rare video content and questions from the audience!
Mozart's Coffee Total Solar Eclipse Extravaganza	April 8, 2024	Mozart's Coffee Roasters	Join us at Mozart's Coffee for a FREE Total Eclipse Extravaganza! You can view the eclipse from our lakeside property or ON the lake with one of our paddle board rentals! There will be a live band, aerialists performances, specialty drinks and snacks, Tesla Cyber trucks on display, and exclusive merchandise!  Enjoy music from the Thin White Dukes, a David Bowie Tribute band, or get your coffee poured from a Lache Movement Co aerialist in the air! Mozart's Coffee is the place to be for this once in a lifetime experience!
UTOPiAfest Down in the Oaks	April 7, 2024 - April 8, 2024	Burnet, Texas	UTOPiAfest returns to Reveille Peak Ranch on April 7th and 8th this year to celebrate the Total Solar Eclipse. What began as gathering of music lovers on a ranch, has evolved into a weekend of camping and live music featuring 35+ bands. Festival-goers will enjoy a curated culinary experience, a wine grove, a Texas craft beer garden, workshops, art installations, a kid zone for the little ones and a solar eclipse viewing party in the direct path of this once-in-a-lifetime astronomical phenomenon!
Arch Ray Resort Solar Eclipse Fest	April 7, 2024 - April 8, 2024	Arch Ray Resort	Welcome to the Arch Ray Eclipse Musicfest! Get ready for an out-of-this-world experience at 4160 highway 290 in Fredericksburg, Texas. This event is a celestial celebration like no other. Join us for two days filled with awe-inspiring moments as we witness the rare phenomenon of a solar eclipse. Immerse yourself in the beauty of the cosmos while enjoying major music acts, tasty food, and delicious craft beverages. Don't miss this chance to witness the magic of nature's own light show. For full details https://archrayresort.com/eclipse-fest-2024/  SUNDAY, APRIL 7th: Slim Bawb - 12:55 pm Hank Williams IV - 2:30 pm Matt Daniel - 4:05 pm Lane Smith - 5:40 pm Cory Morrow - 7:15 pm Kyle Park - 9 pm     MONDAY, APRIL 8th: Nautical Nation w/ Brock Bushong - 12:15pm Audic Empire - 1:50 pm Timothy Howls - 4:05 pm Fastball - 5:40 pm Switchfoot - 7:15 pm Goo Goo Dolls - 9:00 pm
Black Girls Don't Wear Red Lipstick	February 15, 2024 - April 21, 2024	Austin Central Library Gallery (2nd Floor)	Step into a world of audacious beauty and empowerment with the photo exhibition, Black Girls Don't Wear Red Lipstick, created by the visionary photographer, Leta Harrison, curated by Keyheira Keys and Whitney Hamilton, _OFCOLORATX.  Through images of Black women embracing vibrant colors and confidently wearing shades of red lipstick, Leta's bold photographic prints showcase women using beauty as a form of activism to reclaim their power, challenge oppressive beauty standards, and stifle stereotypes. Leta’s powerful images celebrate each woman’s uniqueness, fostering self-love, promoting positive change, and illustrating Black women breaking free from the shackles of conformity.  About the Artist Leta Harrison is a local Austin photographer with an unwavering passion for capturing the essence of her subjects and telling their powerful stories through her lens. Drawing inspiration from Texas musician, Kam Franklin's artist talk, in which she bravely shared her personal experiences of facing pressure to be more modest and being judged for her expressive style, often considered "too much", Kam's poignant recollection of the phrase, "Black girls don't wear red lipstick," struck a chord with Leta, inspiring her to further uplift the women that she photographs and to create this exhibition.  Photo credit Leta Harrison.
Celest Fest Eclipse	April 5, 2024 - April 9, 2024	Camp Tahuaya	Celest Fest is a family-friendly, sober festival that seeks to create a sacred and transformative experience through the power of song and dance. With a commitment to intimate gatherings and intentional curation, Celest Fest Eclipse aims to rekindle profound connections with self, community, and nature. The festival takes place from April 5th to 9th, 2024  Musical headliners include Gone Gone Beyond, YAIMA, Peia, and Alexa Sunshine Rose.
Color, Light &amp; Space Art Exhibition	March 30, 2024 - May 11, 2024	Stephen L. Clark Gallery	Stephen L. Clark Gallery is excited to present "Color, Light & Space" by Lance Letscher. This exhibition features new colorful, vibrant, and detailed collages and will be showing from March 30th, 2024 to May 11th, 2024.
Celestial BBQ Party	April 8, 2024	The Salt Lick	The iconic Texas BBQ destination is going all out on April 8 to celebrate the rare event with a Celestial BBQ Party at The Salt Lick’s original location in Driftwood. Set amongst century-old oaks, rolling hills, native wildflowers, and abundant wildlife, the enchanting Texas Hill Country spot offers an exceptional opportunity for those looking to get a view of the full eclipse. Gates open at 10 a.m. and the party will kick off at 11:30 a.m. with a live musical performance by Austin-based soul band Tomar and the FCs. Beverages such as local beer, wine, and a selection of non-alcoholic options will be served, as well as Salt Lick’s "Sloppy Nachos,” sausage wraps, and chopped beef sandwiches. Afterwards, guests can continue to party with food, drinks, and live music from American country singer and Austin Music Hall of Fame inductee Dale Watson, who’s known for his top singles “I Lie When I Drink” and “Carryin’ on This Way.”
2024 Solar Eclipse - Lampasas, Tx	April 8, 2024		Just a short drive from Austin, make a daytrip to Lampasas, Texas to view the total solar eclipse on April 8, 2024. Viewers from Lampasas will witness nearly four minutes of totality.  To learn more about viewing the 2024 Solar Eclipse click here.
Buchanan Dam Eclipse viewing party	April 8, 2024	Highland Lakes United Methodist Church	Hosting day trip eclipse viewers on our open property in the middle of the path of totality just west of Austin.
Celestial Celebration	April 8, 2024	William Chris Vineyards	Known as one of the World's Best Vineyard's, William Chris Vineyards, located in Hye, Texas, will host an unforgettable celestial celebration in honor of the eclipse. Bringing together Texas wine and Texas skies, the vineyard will have the ultimate viewing party complete with astronomer-led lessons, wine barrel tastings, a country music concert with KJ97 and iHeart Radio and more. Tickets for the event are still available and can be purchased online for $400. In addition to the above, the ticket price includes a welcome glass of wine, parking on site, William Chris Vineyards picnic blanket, solar eclipse glasses, event poster, swag bag with two bottles of the exclusive eclipse wine and breakfast and lunch by esteemed Austin Chef Michael Fojatasek of Olamaie.
Celestial Picnic	April 8, 2024	Four Seasons Hotel Austin	Four Seasons Hotel Austin invites guests and locals to experience, beyond a shadow of a doubt (and under the shadow of the moon), one of the rarest events - the 2024 Great American Total Solar Eclipse - with a “Celestial Celebration” picnic on April 8, 2024. Nature unveils one of its most awe-inspiring displays when the Moon completely covers the Sun, casting a shadow on Earth and turning day into night for a few precious moments.  Event highlights include: -Gourmet spring BBQ picnic presented by award-winning Four Seasons Hotel Austin culinary team -Family-friendly activities including interactive photobooth, tarot card readings, kid’s entertainment and more -Live music performance to accompany the solar keynote -Expert commentary and interactive astronomy education by astrophysicist Ryan Hennessy -State-of-the-art Lunt Hydrogen-Alpha Solar Telescope available for a breathtaking peek at the Sun’s chromosphere including glimpses of sunspots, prominences, and solar flares -Commemorative items such as custom solar-viewing safety glasses
Eclipse &amp; Sips Rooftop Viewing Party	April 8, 2024	Hilton Austin	Join us for an unforgettable experience at the Eclipse & Sips Rooftop Viewing Party on April 8 from 12:30 pm to 3:30 pm. Located on the rooftop pool deck of the Hilton Austin hotel on floor 8, this event promises a unique perspective of the 2024 Total Eclipse.  Indulge in themed cocktails and mocktails like Lunar Lemonade, Solar Sunrise and Total Eclipse Elixir that are available for purchase at the pool bar. Complimentary viewing glasses will be provided, ensuring you catch every moment of the rare eclipse. With panoramic views of downtown Austin, the pool deck offers the perfect vantage point for this once-in-a-lifetime celestial event. Don't miss out on this extraordinary rooftop celebration!
Eclipse Fest	April 8, 2024	Vista Brewing	Join Vista Brewing for this once in a lifetime celestial event on Monday, April 8!  We’re hosting “Vista Eclipse Fest” from 10am – 5 pm with live music, food and drink specials, and plenty of space to watch the eclipse on Vista’s 21-acre, wildflower-covered ranch. Hang with us and avoid the traffic! Family and dog friendly. Free parking.  This is a ticketed festival, open only to ticket holders. We’ve planned the event such that there will be plenty of parking and space for all to enjoy the eclipse view, along with delicious food and beverage, and stellar local live music! Live Music: 11am - 12:45 pm - Tiger Alley (Americana, Roots, Bluegrass band from Austin)1:15 - 3:15 pm - The Point (psych jazz dub fusion band from Austin) Eclipse begins at 12:16 pm Totality will last from 1:34 - 1:37 pm Eclipse ends at 2:57 pm Adults $15. Adult ticket includes one pair of certified eclipse glasses. Kids are free. Tickets on Eventbrite.  Highlights of the festival include: -- The release of “Eclipse Rye Barrel Aged Dark Skies Black Pilsner”  -- Festival food menu including “Total Solar Eclipse” -- Wagyu Burger and other food specials -- Specials on Texas wine -- Live music with two local bands -- Photo ops in the Texas wildflowers -- Children’s activities -- Eclipse merch  Experts and those who have been through a total solar eclipse say it is like nothing you've ever experienced. Suddenly, in the middle of the day, a shadow races toward you at 1,500 miles an hour, and the day is gone. Planets, stars, and the corona are visible as the temperature drops and everyone around is awestruck. You'll never forget it! The total solar eclipse will be a one-in-a-lifetime event and Driftwood will experience the event beginning at approximately 12:16pm. The full eclipse begins at 1:34pm and Dripping Springs will be in total darkness for 3 minutes, when the moon’s disk completely blocks the sun. Eclipse weekend lineup at the Vista Brewing Ranch with four days of live music, limited release Eclipse beer, fresh food specials and spring Hill Country vibes.
Eclipse Viewing Party	April 8, 2024	Middleton Brewing	Join us out in the hill country on Monday, April 8th for an eclipse watch party on our upstairs deck! We'll have solar eclipse glasses available (while supplies last), as well as beer specials all day. See y'all there!
Eclipse Party at the Fieldhouse at the Crossover	April 8, 2024	The Fieldhouse at the Crossover	Join The Fieldhouse at the Crossover in Leander, away from the hustle and bustle of Austin, to see the 2024 Total Eclipse with free eclipse glasses available on a first come first serve basis. Guests are invited to indulge in eclipse-themed drink specials and enter to win a Mitsubishi Eclipse car for an $8 raffle ticket with a portion of the proceeds benefiting the son of a Fieldhouse team member who is undergoing a kidney transplant in December.  The event will also feature music from DJ Paul Secrest and food from the many food trucks at Fieldhouse. Drink specials include:  Total Eclipse of the Heart Deep Eddy Cranberry, prosecco, soda water  Ziggy Star Dust Blue Raspberry Jell-O shot with glitter  Steal my Sunshine Capri Sun, Dry Mountain Well  Dark Side of the Moon Blackberries, Buffalo Trace Bourbon, lime juice, simple syrup, red wine blend  Black Hole Sun Buffalo Trace Bourbon, lemon juice, simple syrup, red wine blend
Eclipse at the zoo 2024	April 8, 2024	Austin Zoo	Join us for a once-in-a-lifetime celestial adventure as we gather at Austin Zoo to witness the awe-inspiring spectacle of a total solar eclipse! Positioned perfectly within the path of totality, Austin Zoo offers an ideal setting for experiencing this rare phenomenon in all its splendor.  Schedule: Austin Zoo opens 9:30 AM (Eclipse times approximate) Partial begins around 12:18 PM Totality begins around 1:35 PM Maximum totality around 1:37 PM Totality ends around 1:39 PM Partial ends around 2:57 PM Austin Zoo closes 5:00 PM  Included with your ticket for April 8th are zoo admission for the day, safety glasses for viewing, free educational talks, entry into the Austin Zoo Family Pack raffle, and a free souvenir poster.  Check out the Austin Zoo website for more information on ticket prices and event details.
Eclipse-O-Rama 2024 with Bill Nye	April 8, 2024	The Lodge at Country Inn Cottages	Eclipse-O-Rama 2024 in Fredericksburg, Texas: Our can’t-miss event offers a unique community viewing experience with live expert commentary, hands-on activities, and engaging exhibits. This two-day festival, graced by the presence of our CEO Bill Nye, Everyday Astronaut Tim Dodd, Chief Astronomer Heidi Hammel, and more, features camping under the stars, optional banquet dinner, eclipse swag, insightful talks from scientists, and hands-on activities designed for space lovers. Tickets and info are available at planetary.org/eclipseorama2024.
Episcopal Eclipse Party	April 8, 2024	St. Luke's on the Lake Episcopal Church Front Lawn	Free solar eclipse watch party on the grounds of St. Luke's on the Lake Episcopal Church. Eclipse glasses, eclipse charm, and light refreshments provided.
Geraldine’s Total Eclipse of the Brunch	April 8, 2024	Hotel Van Zandt	Geraldine’s at Hotel Van Zandt is hosting a special Total Eclipse of the Brunch to celebrate the once in-a-lifetime total solar eclipse on April 8. On the menu is a buffet-style brunch with all the favorites including eggs benedict, french toast, a breakfast taco shop, omelet station, fresh ceviche, fruits, charcuterie, and more, with build your own Bloody Mary’s or $30 bottomless mimosas to pair. Guests can enjoy live music on stage throughout the morning and then head to the rooftop pool deck to watch the eclipse at 1:32 p.m.
Hill Country Solar Eclipse Fest	April 8, 2024	Lucky Arrow Retreat	Are you ready for an out-of-this-world experience? Don’t miss the 2024 solar eclipse in the scenic Texas Hill Country! Make the most out of this celestial event at our Hill Country Solar Eclipse Festival. Secure your tickets today for an unforgettable, immersive festival experience with prime eclipse viewing.  We will be in the path of totality, meaning the sun will be completely blocked by the moon. In any one location, a total solar eclipse is rare, occurring on average once every 375 years. Lucky Arrow is the perfect spot to view the eclipse with wide open skies, scenic overlook, and prime viewing for this total solar eclipse.  What's Included? Day tickets (11am-5pm April 8) grant access to our picturesque overlook (eclipse-safe viewing glasses included), planetarium showings, beer/wine tastings, live music, and more.   Visit hillcountryeclipsefest.com to buy tickets and see answers to frequently asked questions.
Great North American Eclipse Viewing + Lunch	April 8, 2024	Fall Creek Vineyards	It's not too early to plan for the Great North American Eclipse! A total solar eclipse on Monday, April 8, 2024 will be the first total solar eclipse to be visible in Canada since 1979, in Mexico since 1991 and in the U.S. since 2017. It will be the only total solar eclipse in the 21st century where totality will be visible in the three-state set of Mexico, the United States, and Canada.  According to expert calculations, Fall Creek Vineyards at TOW, Texas offers an incredible location for viewing. Fall Creek Vineyards has planned a premium offering for FCV Wine Club Members (not an FCV Wine.Club Member? Now is a great time to join! Sign-up online at fcv.com/join). The "south" viewing will be the prime viewing area where Fall Creek Vineyards will seat approximately 100 guests (wine club members, VIP ticket holders) for viewing inclusive of seated lunch on Fall Creek Vineyard’s Tow patio prior to Eclipse. VIP parking provided, as well as priority access to the FCV Tasting Room.  For more details about what a premium ticket includes visit the event website.
Hope for Spring: Texas Water	March 20, 2024 - April 28, 2024	Neill-Cochran House Museum	Spring has returned to the Neill-Cochran House Museum, and with it the fourth annual Hope for Spring exhibition. As we step into spring, Texans begin to hear the call of the beautiful Texas waters from Austin’s Barton Springs Pool to Caddo Lake State Park, all the way to the beaches of Galveston. Whether it’s strolling along the San Antonio River Walk, tubing down the Comal River, or casting a fishing line off the pier in South Padre, Texans will always be pulled towards the water as we march towards the warmer months. Hope for Spring: Texas Water is our celebration of Texas water, and how it revitalizes not only us, but the land around us.  IMPORTANT DATES: Show Dates: Opens March 20th-April 28th Opening Reception: Saturday, March 23rd (free event) Hope for Spring Art on the Lawn: Sunday, April 14th, 11-3pm *This is an exclusive Art on the Lawn specifically for Hope for Spring participating artists.  Hope for Spring: Texas Water will be on display throughout the historic house museum embedded among the NCHM Collection. The exhibition is included with NCHM general admission. Learn more here: https://www.nchmuseum.org/hope-for-spring-texas-water
Julia C. Butridge Gallery Exhibit: Parts to Whole	April 6, 2024 - June 1, 2024	Dougherty Arts Center	On display at the Julia C. Butridge Gallery the exhibit "Parts to Whole" artwork by artist Katie Conley.  Parts to Whole is a collection of collages meticulously crafted from postage stamps. Each intricate detail plays a vital role in the larger design and is the result of hours of careful consideration. Testing the size, shape, color, and subject matter of each stamp, Katie Conleys ensures harmony in every composition, often surprising viewers with her sourced material.
Julia C. Butridge Gallery Exhibit: Scent of Austin	March 23, 2024 - April 20, 2024	Dougherty Arts Center	On display at the Julia C. Butridge Gallery the exhibit "Scent of Austin" photographic artwork by artist Ziesook You.  Ziesook incorporates symbolism inspired by Broq-pa floral traditions to capture intimate, multi-layered portraits. She began working with this theme in 2016, taking photos of her twin daughters, and has since expanded her subjects to include single mothers, seniors, and people with multi-cultural backgrounds. Since moving to Austin two years ago, Ziesook has begun work on her “Scent of Austin” series, utilizing flora and fauna from central Texas in her photographs of Austinites.  The City of Austin is committed to compliance with the Americans with Disabilities Act. Reasonable modifications and equal access to communications will be provided upon request. For assistance please contact (512) 974-3914 or Relay Texas 7-1-1
Legacies of the Treaty of Guadalupe Hidalgo Exhibition	February 16, 2024 - May 16, 2025	Bullock Texas State History Museum	Explore the short-term and long-term impacts of the Treaty of Guadalupe Hidalgo through artifacts, documents, artworks, and media.  Featuring 29 artifacts, the special focus exhibit, located in the Statehood Gallery on the Second Floor of the Texas History Gallery, explores the short-term and long-term impacts of the Treaty of Guadalupe Hidalgo on Texas, the United States, Mexico, and Tribal Nations.  At the heart of the exhibit is the Treaty itself, a document that established the border between Texas and Mexico at the Rio Grande and ceded over half of Mexico's northernmost lands to the United States. Don't miss the handwritten pages of the Treaty of Guadalupe Hidalgo, on loan from the National Archives and Records Administration in Washington, D.C.
Music America: Iconic Objects from America's Music History Exhibit	February 17, 2024 - August 11, 2024	LBJ Presidential Library	Music America exhibit debuts at the LBJ Presidential Library and is on display from February 17 - August 11, 2024. This new exhibit features more than 100 iconic objects from America's music history. The LBJ Presidential Library and the Bruce Springsteen Archives & Center for American Music invite you to explore the exhibit "Music America: Iconic Objects from America's Music History," on display at the LBJ Library.  The Library is open daily from 9 – 5. Last visitor admitted at 4 pm.  "Music America" features instruments, hand-written original lyrics, books, photographs, costumes and other objects from major artists performing in all walks of American music in different decades and tells the story of those artists who contributed to it. Visitors will be able to see artifacts from Texas artists Buddy Holly, Janis Joplin, Stevie Ray Vaughan and Willie Nelson as well as national performers B.B. King, Billie Holiday, Bob Dylan, Carlos Santana, Ella Fitzgerald, Elvis Presley, Frank Sinatra, Jimi Hendrix, Johnny Cash, Lead Belly, Sam Cooke, Whitney Houston, and more.  "Music America" is curated by the Bruce Springsteen Archives & Center for American Music in association with the Rock & Roll Hall of Fame and Museum, New Orleans Jazz Museum, Hard Rock International and other institutions nationwide.
LCRA Park Solar Eclipse Viewing	April 8, 2024	Multiple LCRA Parks	Get your tickets today and join LCRA Parks at one of eight locations to enjoy the North American total solar eclipse! Since the Texas Hill Country resides within the path of totality, LCRA Parks offers multiple locations to choose from and view the eclipse. A ticket grants you all-day park access on April 8 and a pair of commemorative eclipse-viewing glasses. All parks will offer optimal viewing of complete totality between three and over four minutes.  $20 for ages four and older; FREE for ages three and younger  Participating parks include: - Camp Creek Park - Cedar Point Recreation Area - Gloster Bend Recreation Area - Grelle Recreation Area - Muleshoe Bend Recreation Area - Pedernales River Nature Park - Shaffer Bend Recreation Area - Turkey Bend Recreation Area
Paper Trails	April 6, 2024 - June 1, 2024	Dougherty Arts Center	Bernie Diaz manipulates words and images to create assemblages that redirect and obscure origins. Incorporating historical processes of revision, omission, and embellishment, he creates glyph-like arrangements that seek completeness from fragmentation. His process involves scavenging, cutting, layering, and rearranging materials to achieve a sense of completeness from seemingly unrelated parts informed by his ongoing identity formation as a border-dwelling, queer, Tejano.
RON YATES ECLIPSE PARTY	April 8, 2024	Ron Yates Wines	It's finally time to tell y'all about the baddest party of them all, an event to eclipse all others! We have been hard at work building this party out, and we are thrilled to finally let you in on the fun. With the magnitude of this event, we wanted to do something completely different.  We are taking this party out into our acreage behind the Ron Yates winery.  Nobody has ever been back to this gorgeous part of our land! And with our excellent hill country views and the most perfect view of the eclipse, as we are in the direct path,  there is simply no better way to experience this once-in-a-lifetime event.    The day will begin early so everyone has plenty of time to get in, park, and set up their area for the day. There will be a delicious breakfast taco bar and some coffee for everyone to enjoy as they get settled, as well as plenty of ways to refill your water bottles. Bring your camping chairs and blankets, we have plenty of space to stretch out. Along with offering some of everyones favorites, there will be a special vintage wine bar for those who are more interested in tasting some of Ron Yates's future, past and present wines, including some barrel tastings.  We will have a fun game area to play horseshoes, bocce ball, corn hole, and maybe even some axe throwing!    We are so excited to announce that Silverada (formerly Mike and the Moonpies) will be headlining our party.  Before they play, we will have music from Soul Wagon as well.
Rowing Dock's Solar Eclipse Paddle	April 8, 2024	Rowing Dock	The best way to view the solar eclipse? Seeing it reflect on the water from your very own boat. Rowing Dock is now offering pre-booked kayak, canoe, and stand up paddleboard rentals during the 2024 Solar Eclipse - at our regular rental rates. Your rental will include a pair of Solar Eclipse Glasses.  The eclipse will be visible throughout the Hill Country from 1:32 pm - 1:41 pm CST. Austin locals and visitors will experience about 1 minute and 46 seconds of the total solar eclipse at 1:36 pm CST.  Rental Time: You can select from 1 hour or 2 hours of paddle time. *Regular rental rates will apply for additional time on the water.  Single Kayak $20/hr; Double Kayak $25/hr; SUP $25/hr; Canoe $30/hr
SOLAR ECLIPSE WATCH PARTY	April 8, 2024	MUTTS Canine Cantina	We’re over the moon or should we say UNDER IT about the total solar eclipse party we’re having April 8th from 1pm-2pm! This will be such a treat because the eclipse’s path is right over Austin! You bring the pups, we’ll provide the glasses to see the full effect! See you then
Sign Bar Eclipse Party	April 8, 2024	Sign Bar	For those looking for the perfect place to see the total eclipse on Monday, April 8, Sign Bar's Solar Eclipse Party starts at noon! The event features Sign Bar’s on-site DJ, complimentary eclipse glasses, ‘Total Eclipse of The Heart' cocktails and cosmic snacks like Moon Pies, Sun Chips and Star Crunch.
Sign Bar Solar Eclipse Party	April 8, 2024	Sign Bar	Dive into celestial wonder at Sign Bar's Solar Eclipse Party on Monday, April 8th! As the skies align for this rare astronomical spectacle, immerse yourself in a day of cosmic celebration starting at 11 AM! The bar doors swing open to welcome you into an atmosphere pulsating with energy and excitement.  🎶 Groove to the beats of our expert DJ, setting the mood for an unforgettable experience from the moment you arrive. Let the rhythm of the music guide you through this celestial journey. 💫 Dive into the spirit of the event with our dazzling Flash Tats, adding a touch of cosmic flair to your style and enhancing the magic of the eclipse. 🍹 Indulge in our specially crafted Cosmic Themed Cocktails, including the mesmerizing "Total Eclipse of The Heart", designed to tantalize your taste buds and ignite your imagination. 🌟 Treat yourself to celestial snacks fit for the occasion, with a spread featuring delectable Moon Pies, Star Crunch treats, and Sun Chips that will transport your palate to the stars.  Join us at Sign Bar for a day of cosmic revelry unlike any other, as we come together to witness the beauty of the solar eclipse in style. Don't miss out on this celestial extravaganza! See you there!
Solar Eclipse Rooftop Watch Party	April 8, 2024	Embassy Suites - Austin Downtown South Congress	Free and open to the public, join Embassy Suites by Hilton Austin Downtown South Congress for the Solar Eclipse Rooftop Watch Party from 12 pm-2 pm on Monday, April 8.  You’ll have picture-perfect visibility of the eclipse from the fifth floor of the hotel’s parking garage and access to viewing glasses, themed drinks and snacks and fun surprises throughout the afternoon. See you soon!
Texas Eclipse	April 5, 2024 - April 9, 2024	Reveille Peak Ranch	Texas Eclipse 2024 is a once-in-a-lifetime celebration under the Texas sky! Don’t miss your last chance to catch a total solar eclipse in the United States for more than 20 years on April 5-9th, 2024. At over 4 minutes and 20 seconds, this will be one of the longest totality events you can attend.  This experience will feature music, art, space and technology over 4+ days, set in the beautiful Texas Hill Country, just a short drive from Austin, TX. We’ll be joined by thousands of festival lovers and eclipse enthusiasts from all over the world.
Solar Eclipse Viewing Party	April 8, 2024	Uplift Vineyards	Join Uplift Vineyards for an Exclusive Experience on One of The Most Special Days in Hill Country History.   Uplift will be celebrating the total solar eclipse, occurring on April 8, 2024 with an intimate all-day event featuring some of the greatest talents in the world of food and wine. Experience a celestial moment that will not occur in our area for another 360 years at our private 55-acre vineyard situation in the area considered most likely to be without cloud cover in the U.S., with nearly 4 and a half minutes of total eclipse. Food provided throughout the day by Jesse Griffiths, James Beard Award Winning Chef/Owner of the nationally recognized Dai Due restaurant in Austin, TX. Jess will be cooking live fire with entirely hunted, foraged, and locally sourced ingredients.   Gates will open at 8:30 AM, with a full day of activities available to our guests. Each Additional Ticket is Full Price.  Only 70 Tickets Available. Tickets Include: - Brunch & Dinner Cooked Live Fire throughout the day by James Beard Award Winner, Jesse Griffiths of Dai Due - Master Blending Session with Multi-100-point Winemaker, Jean Hoefliger and Uplift Winemaker, Claire Richardson - 2 Bottles of Uplift Eclipse Red Wine - Extremely Limited Edition Produced Only for this Moment with One-of-a-Kind Label - Astronomer On-Site for Eclipse Talks and Commentary Throughout Event - Special Surprises and Gifts from Uplift & Friends.  - Additional Food Provided by Uplift - Day is All-Inclusive  Our Website Is Currently Undergoing Maintenance For The New Year. To Purchase Tickets Please Call Our Concierge Team At 512-399-5350.
Sundance Hill Alpaca Farm Total Eclipse Viewing Party	April 8, 2024	Sundance Hill Farm	Join us for an exclusive viewing of the Total Solar Eclipse on April 8th, 2024 from 11am-4pm. We will be in the path of totality, meaning the sun will be completely blocked by the moon. In any one location, a total solar eclipse is rare, occurring on average once every 375 years. Sundance Hill Farm is the perfect spot to view the eclipse with wide open skies, alpaca pastures, quiet farm atmosphere, and prime viewing for this total solar eclipse.  All Proceeds go to Farm Improvements and Needs  OUR EXCLUSIVE VIP PACKAGE INCLUDES: --Alpaca Encounter: A guided tour with our charming alpacas, complete with feeding and photo opportunities. --VIP Seating Area: Premium seating with the best views of the total eclipse. Set up with private picnic blanket areas, and special eclipse viewing glasses. --Gourmet Picnic Basket: A delectable assortment of locally sourced snacks, wine, refreshments, and treats to enhance your eclipse experience. --Personal Eclipse Astrology Reading: A dedicated expert to share fascinating insights about the eclipse, and how it pertains to you specifically. --Private Lounge Access: Enjoy a designated VIP lounge area with additional amenities for relaxation and comfort. --Photo Opportunities: Capture the magic of the eclipse and your alpaca farm visit with plenty of photo-worthy moments.
The End of the World Eclipse Viewing Party	April 8, 2024	Cork & Barrel Pub	Join Cork & Barrel in their expansive beer garden to celebrate their End of the World Eclipse Viewing Party for a memorable afternoon with friends, family and neighbors. Enjoy delicious a whole hog roast and oyster shuck, drinks, live music by Wish You Were Beer (a Pink Floyd tribute band) and a spectacular view of the total solar eclipse.  Tickets are $35 and include eclipse viewing glasses, a whole hog buffet, a custom T-shirt to commemorate the experience and live music. East Coast Oysters are available for an additional charge.
Total Eclipse Viewing Party	April 8, 2024	Hartman Concert Lawn	In celebration of the first total solar eclipse in Austin, TX since 1397, the Long Center and the Simons Foundation, as part of its In the Path of Totality initiative, are hosting a FREE eclipse viewing party on the Long Center lawn and H-E-B Terrace. Doors open at 11AM in anticipation of totality, occurring at 1:36PM local time. Hosted by Radiolab’s Molly Webster, the event will feature 4 hours of entertainment, centered around the total eclipse and will provide opportunities for guests to engage with astronomers and celebrate together with the community. The Radiolab team will be recording a special episode from the Long Center, and the day will feature music by composer and Austin legend Graham Reynolds. Acclaimed writers Roxane Gay and Debbie Millman will lead guests through a visual storytelling experience. Custom eclipse-themed beer from local Austin breweries, as well as food and other refreshments, will be available during the event and the first 1000 guests to arrive will receive eclipse tote bags. All guests will receive complimentary viewing glasses.
Total Eclipse of the Park	April 8, 2024	Republic Square	Get ready to witness the magic of the cosmos right in the heart of Austin! Join us at Republic Square for an unforgettable total solar eclipse viewing party on April 8th, 2024 from 1-2 pm.  We’ll have free glasses for the first 200 guests, so join us for an afternoon of celestial wonder and community connection. Take a break from your workday and bring your blankets and chairs as we transform Republic Square into an astronomy haven for this once-in-a-lifetime experience.  Featuring live music by performances by IGNITE, food specials for purchase from Rosen’s Bagels, and celestial treats. Don't miss out on this rare opportunity to witness the moon's dance with the sun with the vibrant Austin skyline as your backdrop.  Save the date, invite your friends and coworkers, and make core memories at Republic Square’s Total Eclipse of the Park!
Total Solar Eclipse Blue Lotus Winery	April 8, 2024	Blue Lotus Winery - Hye	Enjoy the Total Eclipse over Texas at the Blue Lotus Winery - Hye, on April 8th, 2024. We will have live music, food trucks, Texas wine and meads and a once in lifetime experience.  Purchase your tickets here.
